ARR,DEP,REG,CHEFLIEU,TNCC,NCC,NCCENR,LIBELLE
533,53,52,53147,0,MAYENNE,Mayenne,Mayenne
541,54,44,54099,0,VAL DE BRIEY,Val-de-Briey,Val-de-Briey
542,54,44,54329,0,LUNEVILLE,Lunéville,Lunéville
543,54,44,54395,0,NANCY,Nancy,Nancy
544,54,44,54528,0,TOUL,Toul,Toul
551,55,44,55029,0,BAR LE DUC,Bar-le-Duc,Bar-le-Duc
552,55,44,55122,0,COMMERCY,Commercy,Commercy
553,55,44,55545,0,VERDUN,Verdun,Verdun
561,56,53,56121,0,LORIENT,Lorient,Lorient
562,56,53,56178,0,PONTIVY,Pontivy,Pontivy
563,56,53,56260,0,VANNES,Vannes,Vannes
573,57,44,57227,0,FORBACH BOULAY MOSELLE,Forbach-Boulay-Moselle,Forbach-Boulay-Moselle
575,57,44,57630,0,SARREBOURG CHATEAU SALINS,Sarrebourg-Château-Salins,Sarrebourg-Château-Salins
576,57,44,57631,0,SARREGUEMINES,Sarreguemines,Sarreguemines
577,57,44,57672,0,THIONVILLE,Thionville,Thionville
579,57,44,57463,0,METZ,Metz,Metz
581,58,27,58062,0,CHATEAU CHINON (VILLE),Château-Chinon (Ville),Château-Chinon (Ville)
582,58,27,58079,0,CLAMECY,Clamecy,Clamecy
583,58,27,58194,0,NEVERS,Nevers,Nevers
584,58,27,58086,0,COSNE COURS SUR LOIRE,Cosne-Cours-sur-Loire,Cosne-Cours-sur-Loire
591,59,32,59036,1,AVESNES SUR HELPE,Avesnes-sur-Helpe,Avesnes-sur-Helpe
592,59,32,59122,0,CAMBRAI,Cambrai,Cambrai
593,59,32,59178,0,DOUAI,Douai,Douai
594,59,32,59183,0,DUNKERQUE,Dunkerque,Dunkerque
595,59,32,59350,0,LILLE,Lille,Lille
596,59,32,59606,0,VALENCIENNES,Valenciennes,Valenciennes
601,60,32,60057,0,BEAUVAIS,Beauvais,Beauvais
602,60,32,60157,0,CLERMONT,Clermont,Clermont
603,60,32,60159,0,COMPIEGNE,Compiègne,Compiègne
604,60,32,60612,0,SENLIS,Senlis,Senlis
611,61,28,61001,1,ALENCON,Alençon,Alençon
612,61,28,61006,1,ARGENTAN,Argentan,Argentan
613,61,28,61293,0,MORTAGNE AU PERCHE,Mortagne-au-Perche,Mortagne-au-Perche
621,62,32,62041,1,ARRAS,Arras,Arras
622,62,32,62119,0,BETHUNE,Béthune,Béthune
623,62,32,62160,0,BOULOGNE SUR MER,Boulogne-sur-Mer,Boulogne-sur-Mer
624,62,32,62588,0,MONTREUIL,Montreuil,Montreuil
625,62,32,62765,0,SAINT OMER,Saint-Omer,Saint-Omer
626,62,32,62193,0,CALAIS,Calais,Calais
627,62,32,62498,0,LENS,Lens,Lens
